source_row,sku,type,category,condition_id,raw_condition_descriptor,grader_descriptor,grade_descriptor,shipping_policy,title,price,image_urls,warnings
94,CHELLA-GRADED-IMG469,graded,183050,2750,,275013,275021,Shipping-Normal,Candice #113/098 Paradigm Trigger BGS 9.5 Pokemon Card,39.99,https://chellacollectibles.com/images/img469.jpg,
95,CHELLA-GRADED-IMG525,graded,183050,2750,,275010,275020,Shipping-Normal,Dragonair #182/165 151 PSA 10 Pokemon Card,44.99,https://chellacollectibles.com/images/img525.jpg,
96,CHELLA-GRADED-IMG526,graded,183050,2750,,275010,275020,Shipping-Normal,Galarian Zapdos #188/172 VSTAR Universe PSA 10 Pokemon Card,34.99,https://chellacollectibles.com/images/img526.jpg,
97,CHELLA-GRADED-IMG527,graded,183050,2750,,275010,275020,Shipping-Normal,Jolteon #193/184 VMAX Climax PSA 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img527.jpg,
98,CHELLA-GRADED-IMG528,graded,183050,2750,,275010,275020,Shipping-Normal,Scizor #116/108 Ruler of the Black Flame PSA 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img528.jpg,
99,CHELLA-GRADED-IMG529,graded,183050,2750,,275010,275020,Shipping-Normal,Plusle #065/062 Raging Surf PSA 10 Pokemon Card,39.99,https://chellacollectibles.com/images/img529.jpg,
100,CHELLA-GRADED-IMG530,graded,183050,2750,,275010,275020,Shipping-Normal,Ninetales #110/108 Ruler of the Black Flame PSA 10 Pokemon Card,54.99,https://chellacollectibles.com/images/img530.jpg,
101,CHELLA-GRADED-IMG536,graded,183050,2750,,,,Shipping-Normal,Lugia VSTAR #080/098 Paradigm Trigger Pokemon Card,39.99,https://chellacollectibles.com/images/img536.jpg,Missing grader descriptor | Missing grade descriptor
102,CHELLA-GRADED-IMG539,graded,183050,2750,,275010,275020,Shipping-Normal,Mew ex #151/165 151 PSA 10 Pokemon Card,39.99,https://chellacollectibles.com/images/img539.jpg,
103,CHELLA-GRADED-IMG542,graded,183050,2750,,275010,275020,Shipping-Normal,Jirachi V #025/067 Time Gazer PSA 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img542.jpg,
104,CHELLA-GRADED-IMG543,graded,183050,2750,,275010,275020,Shipping-Normal,Charizard ex #115/190 Ruler of the Black Flame PSA 10 Pokemon Card,44.99,https://chellacollectibles.com/images/img543.jpg,
105,CHELLA-GRADED-IMG546,graded,183050,2750,,275010,275020,Shipping-Normal,Snorlax V #045/060 Shield PSA 10 Pokemon Card,54.99,https://chellacollectibles.com/images/img546.jpg,
106,CHELLA-GRADED-IMG547,graded,183050,2750,,275010,275020,Shipping-Normal,Alolan Ninetales #089/150 Ultra Shiny GX PSA 10 Pokemon Card,44.99,https://chellacollectibles.com/images/img547.jpg,
107,CHELLA-GRADED-IMG548,graded,183050,2750,,275010,275020,Shipping-Normal,Snorlax #126/184 VMAX Climax PSA 10 Pokemon Card,44.99,https://chellacollectibles.com/images/img548.jpg,
108,CHELLA-GRADED-IMG549,graded,183050,2750,,275010,275020,Shipping-Normal,Snorlax #058/071 Dark Phantasma PSA 10 Pokemon Card,39.99,https://chellacollectibles.com/images/img549.jpg,
109,CHELLA-GRADED-IMG550,graded,183050,2750,,275010,275020,Shipping-Normal,Eevee #245/SM-P GX Start Battle PSA 10 Pokemon Card,99.99,https://chellacollectibles.com/images/img550.jpg,
110,CHELLA-GRADED-IMG551,graded,183050,2750,,275010,275020,Shipping-Normal,Alolan Raichu #016/050 Ultradimensional Beasts PSA 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img551.jpg,
111,CHELLA-GRADED-IMG552,graded,183050,2750,,275010,275020,Shipping-Normal,Mew #002/028 Celebrations 25 PSA 10 Pokemon Card,109.99,https://chellacollectibles.com/images/img552.jpg,
112,CHELLA-GRADED-IMG553,graded,183050,2750,,275010,275020,Shipping-Normal,Gengar #048/172 VSTAR Universe PSA 10 Pokemon Card,44.99,https://chellacollectibles.com/images/img553.jpg,
113,CHELLA-GRADED-IMG554,graded,183050,2750,,275010,275020,Shipping-Normal,Mew #037/095 Double Blaze PSA 10 Pokemon Card,74.99,https://chellacollectibles.com/images/img554.jpg,
114,CHELLA-GRADED-IMG555,graded,183050,2750,,275010,275020,Shipping-Normal,Mewtwo #054/173 Tag Team All Stars PSA 10 Pokemon Card,54.99,https://chellacollectibles.com/images/img555.jpg,
115,CHELLA-GRADED-IMG556,graded,183050,2750,,275010,275020,Shipping-Normal,Typhlosion #019/095 Super-Burst Impact PSA 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img556.jpg,
116,CHELLA-GRADED-IMG557,graded,183050,2750,,275010,275020,Shipping-Normal,Charizard #017/184 VMAX Climax PSA 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img557.jpg,
117,CHELLA-GRADED-IMG558,graded,183050,2750,,275010,275022,Shipping-Normal,Latios & Latias GX #060/095 Tag Bolt PSA 9 Pokemon Card,29.99,https://chellacollectibles.com/images/img558.jpg,
118,CHELLA-GRADED-IMG559,graded,183050,2750,,275010,275022,Shipping-Normal,Pikachu VMAX #046/184 VMAX Climax PSA 9 Pokemon Card,19.99,https://chellacollectibles.com/images/img559.jpg,
119,CHELLA-GRADED-IMG560,graded,183050,2750,,275010,275022,Shipping-Normal,Jolteon GX #013/038 Eevee GX Starter Set PSA 9 Pokemon Card,19.99,https://chellacollectibles.com/images/img560.jpg,
120,CHELLA-GRADED-IMG561,graded,183050,2750,,275010,275028,Shipping-Normal,Radiant Greninja #033/172 VSTAR Universe PSA 6 Pokemon Card,9.99,https://chellacollectibles.com/images/img561.jpg,
121,CHELLA-GRADED-IMG562,graded,183050,2750,,275010,275022,Shipping-Normal,Suicune #018/060 Thunderclap Spark PSA 9 Pokemon Card,14.99,https://chellacollectibles.com/images/img562.jpg,
122,CHELLA-GRADED-IMG563,graded,183050,2750,,275015,275020,Shipping-Normal,Latios #070/064 Paradise Dragona CGC 10 Pokemon Card,49.99,https://chellacollectibles.com/images/img563.jpg,
123,CHELLA-GRADED-IMG564,graded,183050,2750,,275015,275020,Shipping-Normal,Galarian Zapdos #188/172 VSTAR Universe CGC 10 Pokemon Card,29.99,https://chellacollectibles.com/images/img564.jpg,
124,CHELLA-GRADED-IMG565,graded,183050,2750,,275015,275020,Shipping-Normal,Wailord #103/100 Battle Partners CGC 10 Pokemon Card,29.99,https://chellacollectibles.com/images/img565.jpg,
125,CHELLA-GRADED-IMG566,graded,183050,2750,,275015,275020,Shipping-Normal,Phione #071/066 Crimson Haze CGC 10 Pokemon Card,29.99,https://chellacollectibles.com/images/img566.jpg,
126,CHELLA-GRADED-IMG567,graded,183050,2750,,275015,275020,Shipping-Normal,Jirachi GX #002/031 Tag Team GX Starter Deck CGC 10 Pokemon Card,59.99,https://chellacollectibles.com/images/img567.jpg,
